Country	HDI	Life Expectancy
Switzerland	0,967	83,23
Norway	0,966	82,55
Iceland	0,959	83,64
Hong Kong	0,956	83,61
Denmark	0,952	81,66
Sweden	0,95	82,7
Ireland	0,95	81,66
Germany	0,949	81,51
Singapore	0,949	86,43
Netherlands	0,946	82,16
Australia	0,942	83,09
Liechtenstein	0,942	82,56
Belgium	0,94	81,86
Finland	0,94	81,76
United Kingdom	0,94	81,94
New Zealand	0,939	82,54
United Arab Emirates	0,937	79,56
Canada	0,935	83,8
South Korea	0,929	82,97
Luxembourg	0,927	82,98
United States	0,927	78,38
Slovenia	0,926	81,82
Austria	0,926	82,27
Japan	0,92	84,91
Israel	0,915	83,35
Malta	0,915	83,2
Spain	0,911	82,55
France	0,91	82,59
Cyprus	0,907	79,74
Italy	0,906	82,59
Estonia	0,899	77,88
Czech Republic	0,895	79,73
Greece	0,893	81,49
Bahrain	0,888	79,9
Andorra	0,884	83,42
Poland	0,881	78,76
Latvia	0,879	75,91
Lithuania	0,879	75,78
Croatia	0,878	77,22
Qatar	0,875	79,81
Saudi Arabia	0,875	76,65
Portugal	0,874	81,5
San Marino	0,867	83,86
Chile	0,86	79,79
Turkey	0,855	76,21
Slovakia	0,855	78,31
Hungary	0,851	77,2
Argentina	0,849	78,31
Kuwait	0,847	79,13
Montenegro	0,844	77,75
